15042910	101080612	balihan	八里罕	chifeng	赤峰	neimenggu	内蒙古
150430	101080614	aohan	敖汉	chifeng	赤峰	neimenggu	内蒙古
1504301072	101080619	baoguotu	宝国图	chifeng	赤峰	neimenggu	内蒙古
150500	101080501	tongliao	通辽	tongliao	通辽	neimenggu	内蒙古
150502	101080510	keerqin	科尔沁	通辽	通辽	neimenggu	内蒙古
150521	101080503	kezuozhongqi	科左中旗	tongliao	通辽	neimenggu	内蒙古
15052110	101080502	shebotu	舍伯吐	tongliao	通辽	neimenggu	内蒙古
150522	101080504	kezuohouqi	科左后旗	tongliao	通辽	neimenggu	内蒙古
150523	101080506	kailu	开鲁	tongliao	通辽	neimenggu	内蒙古
150524	101080507	kulun	库伦	tongliao	通辽	neimenggu	内蒙古
150525	101080508	naiman	奈曼	tongliao	通辽	neimenggu	内蒙古
15052510	101080505	qinglongshan	青龙山	tongliao	通辽	neimenggu	内蒙古
150526	101080509	zhalute	扎鲁特	tongliao	通辽	neimenggu	内蒙古
15052610	101080511	bayaertuhushuo	巴雅尔吐胡硕	tongliao	通辽	neimenggu	内蒙古
150581	101080512	huolinguole	霍林郭勒	tongliao	通辽	neimenggu	内蒙古
150600	101080701	eerduosi	鄂尔多斯	eerduosi	鄂尔多斯	neimenggu	内蒙古
150602	101080713	dongsheng	东胜	eerduosi	鄂尔多斯	neimenggu	内蒙古
150603	101080714	kangbashi	鄂尔多斯	eerduosi	康巴什	neimenggu	内蒙古
150621	101080703	dalate	达拉特	eerduosi	鄂尔多斯	neimenggu	内蒙古
150622	101080704	zhungeer	准格尔	eerduosi	鄂尔多斯	neimenggu	内蒙古
150623	101080705	eqianqi	鄂前旗	eerduosi	鄂尔多斯	neimenggu	内蒙古
150624	101080708	etuoke	鄂托克	eerduosi	鄂尔多斯	neimenggu	内蒙古
150625	101080709	hangjinqi	杭锦旗	eerduosi	鄂尔多斯	neimenggu	内蒙古
15062520	101080707	yihewusu	伊和乌素	eerduosi	鄂尔多斯	neimenggu	内蒙古
150626	101080710	wushenqi	乌审旗	eerduosi	鄂尔多斯	neimenggu	内蒙古
150626101	101080712	wushenzhao	乌审召	eerduosi	鄂尔多斯	neimenggu	内蒙古
1506261042	101080706	henan	河南	eerduosi	鄂尔多斯	neimenggu	内蒙古
150627	101080711	yijinhuoluo	伊金霍洛	eerduosi	鄂尔多斯	neimenggu	内蒙古
150700	101081013	hulunbeier	呼伦贝尔	hulunbeier	呼伦贝尔	namenggu	内蒙古
150702	101081001	hailaer	海拉尔	hulunbeier	呼伦贝尔	neimenggu	内蒙古
150703	101081017	zhalainuoer	扎赉诺尔	hulunbeier	呼伦贝尔	namenggu	内蒙古
150721	101081003	arongqi	阿荣旗	hulunbeier	呼伦贝尔	neimenggu	内蒙古
150722	101081004	molidawa	莫力达瓦	hulunbeier	呼伦贝尔	neimenggu	内蒙古
